method,type,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,Reference_felzenszwalb_area,Test_kmeans_area,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,test_time,ref_time,parameters,Test_dbscan_area,Test_gmm_area,Test_slic_area,Test_quickshift_area,Test_watershed_area,Test_random_walker_area,Test_chan_vese_area,Test_threshold_otsu_area,Test_canny_area
kmeans,sklearn,0.6315478515625,0.9600296753452716,0.6280626662891731,0.7593497957348284,0.6120579298857134,0.7593497957348203,0.612057929885703,0.6315478515625,568663,372026.0,196637,0.6542117211775577,30867,14870,211507,357156,0.2402489185333252,0.4568347930908203,{'n_clusters': 3},,,,,,,,,
dbscan,sklearn,0.3437353515625,0.9527132037474827,0.3061479294415146,0.463388958462814,0.3015655529842163,0.46338895846280787,0.30156555298421106,0.3437353515625,568663,,385927,0.3213432208531182,37096,8641,394568,174095,0.5083801746368408,0.4568347930908203,"{'eps': 0.5, 'min_samples': 5}",182736.0,,,,,,,,
gmm,sklearn,0.54703125,0.9808016479385865,0.5207935103919193,0.6803366811544929,0.5155380705358076,0.6803366811544851,0.5155380705357986,0.54703125,568663,,266710,0.5309875972236539,39940,5797,272507,296156,2.4954440593719482,0.4568347930908203,{'n_components': 3},,301953.0,,,,,,,
slic,skimage,0.87701171875,0.9217599854936851,0.9475488997877477,0.9344765512002747,0.87701171875,0.9344765512002666,0.8770117187499857,0.87701171875,568663,,18446744073709535706,0.9727835531233743,0,45737,29827,538836,0.3369865417480469,0.4568347930908203,{'n_segments': 100},,,584573.0,,,,,,
quickshift,skimage,0.9219791666666667,0.925290876689192,0.9961330348554416,0.9594059942550539,0.9219791666666667,0.9594059942550458,0.9219791666666517,0.9219791666666667,568663,,18446744073709508078,0.9288828342325326,0,45737,2199,566464,2.199276924133301,0.4568347930908203,{'kernel_size': 3},,,,612201.0,,,,,
watershed,skimage,0.7989794921875,0.9147699532266179,0.8632406187847635,0.8882585884466834,0.7989794921875,0.8882585884466753,0.798979492187487,0.7989794921875,568663,,32033,0.9436696250679059,0,45737,77770,490893,0.16174960136413574,0.4568347930908203,{},,,,,536630.0,,,,
random_walker,skimage,0.8098844401041667,0.915820955956785,0.8750226408259373,0.8949570725715,0.8098844401041667,0.8949570725714919,0.8098844401041535,0.8098844401041667,568663,,25333,0.9554516471090794,0,45737,71070,497593,5.829063653945923,0.4568347930908203,{'beta': 130},,,,,,543330.0,,,
chan_vese,skimage,0.4677425130208333,0.9556707096307024,0.44560310764020167,0.6078038893519546,0.4365792180449573,0.6078038893519473,0.4365792180449498,0.4677425130208333,568663,,303511,0.46627264302406757,33983,11754,315265,253398,2.40964412689209,0.4568347930908203,{'max_iter': 100},,,,,,,265152.0,,
threshold_otsu,skimage,0.4117301432291667,0.9675513961337834,0.37706163404336135,0.5426490778526463,0.37235306171355936,0.5426490778526394,0.37235306171355287,0.4117301432291667,568663,,347051,0.38970708486396355,38546,7191,354242,214421,0.0015878677368164062,0.4568347930908203,{},,,,,,,,221612.0,
canny,skimage,0.23642578125,0.8968759720217254,0.19774980964121106,0.32405056725346737,0.19335342756876372,0.32405056725346265,0.1933534275687604,0.23642578125,568663,,443280,0.22048735366992014,32807,12930,456210,112453,0.03563666343688965,0.4568347930908203,{'sigma': 1.0},,,,,,,,,125383.0
