method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.00162506103515625,80923,62.44058641975309,"(270, 480, 3)"
Adaptive_Threshold_CV2,0.0020956993103027344,105337,81.27854938271605,"(270, 480, 3)"
Otsu_CV2,0.0014934539794921875,62730,48.40277777777778,"(270, 480, 3)"
Region_Growing_CV2,0.12033700942993164,48101,37.11496913580247,"(270, 480, 3)"
Split_and_Merge_CV2,0.24829649925231934,26552,20.487654320987655,"(270, 480, 3)"
Sobel_CV2,0.0017971992492675781,8838,6.819444444444445,"(270, 480, 3)"
Canny_CV2,0.0011444091796875,8844,6.824074074074074,"(270, 480, 3)"
KMeans_CV2,0.1688385009765625,69744,53.81481481481482,"(270, 480, 3)"
Active_Contour_CV2,0.09922575950622559,8799,6.789351851851852,"(270, 480, 3)"
GVF_Contour_CV2,0.08268117904663086,7,0.005401234567901235,"(270, 480, 3)"
Watershed_CV2,0.004399776458740234,47073,36.32175925925926,"(270, 480, 3)"
GrabCut_CV2,0.42722344398498535,9396,7.249999999999999,"(270, 480, 3)"
FloodFill_CV2,0.003573894500732422,44559,34.38194444444444,"(270, 480, 3)"
Morphological_Snakes_CV2,0.29807519912719727,129600,100.0,"(270, 480, 3)"
Slic_CV2,0.0647280216217041,124199,95.83256172839506,"(270, 480, 3)"
Felzenszwalb_CV2,0.08456587791442871,106376,82.08024691358024,"(270, 480, 3)"
Chan_Vese_CV2,0.01176762580871582,129600,100.0,"(270, 480, 3)"
Threshold_Niblack_CV2,0.0014853477478027344,4365,3.3680555555555554,"(270, 480, 3)"
Threshold_Sauvola_CV2,0.001976490020751953,44848,34.604938271604944,"(270, 480, 3)"
Random_Walker_CV2,12.70113492012024,114154,88.0817901234568,"(270, 480, 3)"
Global_Threshold_Torch,0.11359834671020508,80923,62.44058641975309,"(270, 480, 3)"
Adaptive_Threshold_Torch,0.005753040313720703,104578,80.6929012345679,"(270, 480, 3)"
Otsu_Torch,0.005312442779541016,62839,48.48688271604939,"(270, 480, 3)"
Split_and_Merge_Torch,0.009065389633178711,8160,6.296296296296296,"(270, 480, 3)"
Sobel_Torch,0.02711939811706543,14416,11.123456790123457,"(270, 480, 3)"
Canny_Torch,0.025007247924804688,18393,14.19212962962963,"(270, 480, 3)"
KMeans_Torch,0.01854729652404785,69688,53.7716049382716,"(270, 480, 3)"
Watershed_Torch,693.1256074905396,122958,94.875,"(270, 480, 3)"
Grabcut_Torch,0.01992487907409668,64395,49.6875,"(270, 480, 3)"
FloodFill_Torch,61.62385106086731,54738,42.236111111111114,"(270, 480, 3)"
Neural_SegFormer,0.0683603286743164,129600,100.0,"(270, 480, 3)"
