method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,sklearn_kmeans_area,sklearn_dbscan_area,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff,sklearn_meanshift_area,sklearn_gmm_area,skimage_felzenszwalb_area,skimage_slic_area,skimage_quickshift_area,skimage_watershed_area
sklearn_kmeans,sklearn_dbscan,0.5879752604166667,0.825272524297347,0.4053668292001097,0.5436817950760867,0.3733262368333106,0.5436817950760768,0.3733262368333014,0.5879752604166667,372026.0,182736.0,189290,0.4911914758645769,210445,31929,221219,150807,0.23763370513916016,0.5105087757110596,0.2728750705718994,,,,,,
sklearn_kmeans,sklearn_meanshift,0.6029264322916666,0.6044888154931692,0.9957314811330391,0.7522821012186776,0.6029264322916666,0.7522821012186699,0.6029264322916569,0.6029264322916666,372026.0,,18446744073709310830,0.6070801485610496,0,242374,1588,370438,0.23763370513916016,19.48715615272522,19.24952244758606,612812.0,,,,,
sklearn_kmeans,sklearn_gmm,0.5031722005208333,0.610571843962471,0.495567514098477,0.5470912298454403,0.37654892109106136,0.5470912298454321,0.37654892109105365,0.5031722005208333,372026.0,,70073,0.8116448850348951,124785,117589,187662,184364,0.23763370513916016,2.392676830291748,2.155043125152588,,301953.0,,,,
sklearn_kmeans,skimage_felzenszwalb,0.6315478515625,0.6280626662891731,0.9600296753452716,0.7593497957348284,0.6120579298857134,0.7593497957348203,0.612057929885703,0.6315478515625,372026.0,,18446744073709354979,0.6542117211775577,30867,211507,14870,357156,0.23763370513916016,0.4476311206817627,0.20999741554260254,,,568663.0,,,
sklearn_kmeans,skimage_slic,0.5897705078125,0.6026227690981281,0.9469150005644766,0.7365196911140405,0.5829292992808469,0.7365196911140328,0.5829292992808373,0.5897705078125,372026.0,,18446744073709339069,0.6364064026220739,10078,232296,19749,352277,0.23763370513916016,0.337022066116333,0.09938836097717285,,,,584573.0,,
sklearn_kmeans,skimage_quickshift,0.6019970703125,0.6041267492212525,0.9941428824867079,0.7515481692739582,0.6019841140662131,0.7515481692739505,0.6019841140662033,0.6019970703125,372026.0,,18446744073709311441,0.6076860377555638,20,242354,2179,369847,0.23763370513916016,2.1883740425109863,1.9507403373718262,,,,,612201.0,
sklearn_kmeans,skimage_watershed,0.5091634114583333,0.5656467212045544,0.8159187798702241,0.6681142258456445,0.5016302740149361,0.6681142258456372,0.5016302740149278,0.5091634114583333,372026.0,,18446744073709387012,0.6932635148985206,9287,233087,68483,303543,0.23763370513916016,0.15695929527282715,0.08067440986633301,,,,,,536630.0
sklearn_dbscan,sklearn_meanshift,0.2948502604166667,0.2956077883592358,0.9913317572892041,0.45541438103043436,0.2948456695681613,0.45541438103042864,0.29484566956815644,0.2948502604166667,,182736.0,18446744073709121540,0.29819259413979654,4,431660,1584,181152,0.5105087757110596,19.48715615272522,18.97664737701416,612812.0,,,,,
sklearn_dbscan,sklearn_gmm,0.5319254557291667,0.32638192036508995,0.5393135452237107,0.40666076597570816,0.2552254769680191,0.4066607659756997,0.2552254769680125,0.5319254557291667,,182736.0,18446744073709432399,0.6051802764006118,228263,203401,84184,98552,0.5105087757110596,2.392676830291748,1.8821680545806885,,301953.0,,,,
sklearn_dbscan,skimage_felzenszwalb,0.3437353515625,0.3061479294415146,0.9527132037474827,0.463388958462814,0.3015655529842163,0.46338895846280787,0.30156555298421106,0.3437353515625,,182736.0,18446744073709165689,0.3213432208531182,37096,394568,8641,174095,0.5105087757110596,0.4476311206817627,0.06287765502929688,,,568663.0,,,
sklearn_dbscan,skimage_slic,0.3351904296875,0.3069334368847005,0.9818809648892391,0.46767338842630546,0.3052047682876214,0.46767338842629935,0.30520476828761617,0.3351904296875,,182736.0,18446744073709149779,0.31259740015361104,26516,405148,3311,179425,0.5105087757110596,0.337022066116333,0.17348670959472656,,,,584573.0,,
sklearn_dbscan,skimage_quickshift,0.2977392578125,0.2968534843948311,0.9945166798003677,0.4572286860468188,0.29636841307038614,0.45722868604681305,0.2963684130703813,0.2977392578125,,182736.0,18446744073709122151,0.29849020174746044,1197,430467,1002,181734,0.5105087757110596,2.1883740425109863,1.6778652667999268,,,,,612201.0,
