Image,Method,IoU,Dice,Precision,Recall,F1_Score,Time_s
ade20k_sample,Sauvola_Thresholding_Sklearn,0.5919684525988287,0.7436936977398376,0.6061739204277409,0.9619198527907956,0.7436936929966897,0.033881425857543945
ade20k_sample,Adaptive_Threshold_Sklearn,0.5334883414984314,0.6957840200827012,0.5811292422911151,0.8668008029590125,0.6957840152767375,0.030073165893554688
ade20k_sample,Sauvola_Thresholding_Torch,0.511627973492053,0.6769231351422921,0.5709429698571191,0.8312159625285389,0.6769231303139348,0.12472701072692871
ade20k_sample,Sauvola_Thresholding_CV2,0.511575027457441,0.6768767916448086,0.5709164961648892,0.8311323209605382,0.6768767868164025,0.002332448959350586
ade20k_sample,Niblack_Thresholding_Torch,0.40664360873277716,0.5781757457382068,0.5879453713088602,0.5687254883737956,0.5781757407385637,0.12465977668762207
ade20k_sample,Niblack_Thresholding_CV2,0.40626910095936647,0.57779709542492,0.5876191574415461,0.568297987026237,0.5777970904252924,0.002075672149658203
ade20k_sample,Adaptive_Threshold_Torch,0.3546943656087476,0.5236522342071569,0.48282299784672744,0.5720246835560411,0.5236522292418765,0.00370025634765625
ade20k_sample,Adaptive_Threshold_CV2,0.34985547462134353,0.5183599002999633,0.48069835419709595,0.5624244902510844,0.5183598953296015,0.0014562606811523438
ade20k_sample,Canny_CV2,0.3404598553680697,0.5079747133131788,0.9930232558138192,0.3412761844575221,0.5079747095043903,0.0013332366943359375
ade20k_sample,Sobel_Torch,0.3075859773377653,0.47046386649883165,0.9836921166241376,0.30916246909907297,0.4704638628579719,0.003526926040649414
ade20k_sample,Sobel_Sklearn,0.3004403040415276,0.4620593549877859,0.991495740222244,0.30121652013901684,0.46205935141149546,0.006852149963378906
ade20k_sample,Sobel_CV2,0.29203515212192,0.45205449966833816,0.9914398111721493,0.292773368524735,0.4520544961462508,0.003193378448486328
ade20k_sample,Otsu_Thresholding_Sklearn,0.24549894765739386,0.39421783233138585,0.3896215882582354,0.39892381182504044,0.3942178273306727,0.029680252075195312
ade20k_sample,Niblack_Thresholding_Sklearn,0.24540791706231224,0.39410046090338535,0.6016065483061026,0.29302893998251456,0.3941004564963162,0.03357744216918945
ade20k_sample,Otsu_Thresholding_Torch,0.23131590160980814,0.375721455896543,0.37559496445303314,0.375848032564433,0.3757214508950762,0.0041539669036865234
ade20k_sample,Otsu_Thresholding_CV2,0.22693747515507523,0.3699250854283232,0.3711240400714453,0.368733852530605,0.36992508042688954,0.0009551048278808594
ade20k_sample,Canny_Torch,0.14645913316989684,0.25549821870521844,0.969799993873941,0.14713016486681718,0.25549821641468995,0.003751993179321289
ade20k_sample,Canny_Sklearn,0.14223259742610375,0.2490431419105915,0.9913631364427148,0.14240906302856163,0.24904313971093117,0.016022205352783203
ade20k_sample,Global_Threshold_CV2,0.11119232310848089,0.20013155382248685,0.23313641644213404,0.17531272652923852,0.20013154892056362,0.0010023117065429688
ade20k_sample,Global_Threshold_Torch,0.11119232310848089,0.20013155382248685,0.23313641644213404,0.17531272652923852,0.20013154892056362,0.012572288513183594
ade20k_sample,Global_Threshold_Sklearn,0.11083670615939363,0.19955535416862208,0.23218128564820517,0.17496886674968054,0.19955534926521884,0.026738643646240234
