Method,Library,IoU,Dice,F1_Score,Time_s,Precision,Recall
Sauvola_Thresholding_Sklearn,Sklearn,0.5920,0.7437,0.7437,0.0339,0.6062,0.9619
Adaptive_Threshold_Sklearn,Sklearn,0.5335,0.6958,0.6958,0.0301,0.5811,0.8668
Sauvola_Thresholding_Torch,Torch,0.5116,0.6769,0.6769,0.1247,0.5709,0.8312
Sauvola_Thresholding_CV2,CV2,0.5116,0.6769,0.6769,0.0023,0.5709,0.8311
Niblack_Thresholding_Torch,Torch,0.4066,0.5782,0.5782,0.1247,0.5879,0.5687
Niblack_Thresholding_CV2,CV2,0.4063,0.5778,0.5778,0.0021,0.5876,0.5683
Adaptive_Threshold_Torch,Torch,0.3547,0.5237,0.5237,0.0037,0.4828,0.5720
Adaptive_Threshold_CV2,CV2,0.3499,0.5184,0.5184,0.0015,0.4807,0.5624
Canny_CV2,CV2,0.3405,0.5080,0.5080,0.0013,0.9930,0.3413
Sobel_Torch,Torch,0.3076,0.4705,0.4705,0.0035,0.9837,0.3092
Sobel_Sklearn,Sklearn,0.3004,0.4621,0.4621,0.0069,0.9915,0.3012
Sobel_CV2,CV2,0.2920,0.4521,0.4521,0.0032,0.9914,0.2928
Otsu_Thresholding_Sklearn,Sklearn,0.2455,0.3942,0.3942,0.0297,0.3896,0.3989
Niblack_Thresholding_Sklearn,Sklearn,0.2454,0.3941,0.3941,0.0336,0.6016,0.2930
Otsu_Thresholding_Torch,Torch,0.2313,0.3757,0.3757,0.0042,0.3756,0.3758
Otsu_Thresholding_CV2,CV2,0.2269,0.3699,0.3699,0.0010,0.3711,0.3687
Canny_Torch,Torch,0.1465,0.2555,0.2555,0.0038,0.9698,0.1471
Canny_Sklearn,Sklearn,0.1422,0.2490,0.2490,0.0160,0.9914,0.1424
Global_Threshold_CV2,CV2,0.1112,0.2001,0.2001,0.0010,0.2331,0.1753
Global_Threshold_Torch,Torch,0.1112,0.2001,0.2001,0.0126,0.2331,0.1753
Global_Threshold_Sklearn,Sklearn,0.1108,0.1996,0.1996,0.0267,0.2322,0.1750
