method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,area1,area2,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff
Global_Threshold_CV2,Global_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.999999999999969,0.9999999999999382,1.0,161828,161828,0,1.0,187868,0,0,161828,0.000263214111328125,0.000263214111328125,0.0
Global_Threshold_CV2,Adaptive_Threshold_CV2,0.670965638726208,0.5928700224797643,0.9224238079936723,0.7218104011024878,0.5647130924278191,0.7218104011024704,0.5647130924277978,0.670965638726208,161828,251782,89954,0.6427306161679548,85360,102508,12554,149274,0.000263214111328125,0.0008480548858642578,0.0005848407745361328
Global_Threshold_CV2,Otsu_Thresholding_CV2,0.8513365894948756,0.7568599022519468,1.0,0.8616053007776,0.7568599022519468,0.861605300777577,0.7568599022519114,0.8513365894948756,161828,213815,51987,0.7568599022519468,135881,51987,0,161828,0.000263214111328125,0.0003311634063720703,6.794929504394531e-05
Global_Threshold_CV2,Niblack_Thresholding_CV2,0.5856686950951684,0.5406881774156354,0.6954358949007589,0.6083757689771118,0.4371695716522097,0.6083757689770953,0.4371695716521927,0.5856686950951684,161828,208144,46316,0.7774809747098163,92265,95603,49287,112541,0.000263214111328125,0.0015079975128173828,0.0012447834014892578
Global_Threshold_CV2,Sauvola_Thresholding_CV2,0.5659687271229868,0.516037600344723,0.9990360135452455,0.6805479844166669,0.5157807759426514,0.6805479844166525,0.5157807759426348,0.5659687271229868,161828,313295,151467,0.5165355336025153,36245,151623,156,161672,0.000263214111328125,0.0016160011291503906,0.0013527870178222656
Global_Threshold_CV2,Sobel_CV2,0.4591502333455344,0.2851319661939911,0.11195219615888474,0.1607777536196515,0.08741616405307599,0.16077775361964436,0.08741616405307177,0.4591502333455344,161828,63539,98289,0.3926329189015498,142446,45422,143711,18117,0.000263214111328125,0.0026476383209228516,0.0023844242095947266
Global_Threshold_CV2,Canny_CV2,0.4042396824670571,0.18569130746252518,0.0848926020218998,0.11651704118976638,0.06186254069607742,0.11651704118976143,0.06186254069607463,0.4042396824670571,161828,73983,87845,0.45717057616728873,127623,60245,148090,13738,0.000263214111328125,0.0007004737854003906,0.0004372596740722656
Global_Threshold_CV2,Global_Threshold_Sklearn,0.9668512079062958,0.9631881412786109,0.9652594112267345,0.9642226639177294,0.9309169358395213,0.9642226639176996,0.9309169358394658,0.9668512079062958,161828,162176,348,0.997854183109708,181898,5970,5622,156206,0.000263214111328125,0.023591995239257812,0.023328781127929688
Global_Threshold_CV2,Adaptive_Threshold_Sklearn,0.521838968704246,0.49161591776341407,0.9752391427935833,0.6537020583904418,0.4855552684043417,0.6537020583904283,0.4855552684043268,0.521838968704246,161828,321025,159197,0.5040978116969084,24664,163204,4007,157821,0.000263214111328125,0.027942657470703125,0.027679443359375
Global_Threshold_CV2,Otsu_Thresholding_Sklearn,0.8266551519033675,0.7296615323173554,0.9935116296314606,0.8413863842124268,0.7262010153751649,0.8413863842124047,0.726201015375132,0.8266551519033675,161828,220346,58518,0.7344267651784012,128300,59568,1050,160778,0.000263214111328125,0.0262911319732666,0.026027917861938477
Global_Threshold_CV2,Niblack_Thresholding_Sklearn,0.5814164302708639,0.5737215272012444,0.37151790790221717,0.4509922324198019,0.29114910968091856,0.450992232419785,0.29114910968090446,0.5814164302708639,161828,104793,57035,0.6475579009812887,143197,44671,101706,60122,0.000263214111328125,0.03386211395263672,0.033598899841308594
Global_Threshold_CV2,Sauvola_Thresholding_Sklearn,0.48599926793557835,0.4737689748875562,0.9997899003880664,0.6428917692497199,0.47372181133578106,0.642891769249707,0.4737218113357672,0.48599926793557835,161828,341504,179676,0.4738685344827586,8158,179710,34,161794,0.000263214111328125,0.03257560729980469,0.03231239318847656
Global_Threshold_CV2,Sobel_Sklearn,0.45635351848462663,0.2836665697807829,0.11458462070840646,0.1632327891653499,0.08886961189337372,0.1632327891653427,0.08886961189336945,0.45635351848462663,161828,65369,96459,0.40394122154386136,141042,46826,143285,18543,0.000263214111328125,0.005554676055908203,0.005291461944580078
Global_Threshold_CV2,Canny_Sklearn,0.49714609260614934,0.27331824062095733,0.05222211236621598,0.08768962583269346,0.04585533134017374,0.08768962583268891,0.04585533134017125,0.49714609260614934,161828,30920,130908,0.19106705885260894,165399,22469,153377,8451,0.000263214111328125,0.016101598739624023,0.0158383846282959
Global_Threshold_CV2,Global_Threshold_Torch,1.0,1.0,1.0,1.0,1.0,0.999999999999969,0.9999999999999382,1.0,161828,161828,0,1.0,187868,0,0,161828,0.000263214111328125,0.0026438236236572266,0.0023806095123291016
Global_Threshold_CV2,Adaptive_Threshold_Torch,0.6736050741215227,0.5935206793089247,0.9351101169142546,0.7261494314923715,0.5700428680132296,0.7261494314923541,0.570042868013208,0.6736050741215227,161828,254965,93137,0.6347067244523759,84230,103638,10501,151327,0.000263214111328125,0.0027163028717041016,0.0024530887603759766
Global_Threshold_CV2,Otsu_Thresholding_Torch,0.8469499222181552,0.7514685464060664,1.0,0.8581011037258369,0.7514685464060664,0.8581011037258142,0.7514685464060314,0.8469499222181552,161828,215349,53521,0.7514685464060664,134347,53521,0,161828,0.000263214111328125,0.0032515525817871094,0.0029883384704589844
Global_Threshold_CV2,Niblack_Thresholding_Torch,0.584813666727672,0.5399635886769432,0.6946140346540771,0.6076025999648653,0.4363715415940403,0.6076025999648489,0.43637154159402336,0.584813666727672,161828,208177,46349,0.7773577292400217,92099,95769,49420,112408,0.000263214111328125,0.12664127349853516,0.12637805938720703
Global_Threshold_CV2,Sauvola_Thresholding_Torch,0.5659172538433382,0.5160080558933456,0.9990298341448945,0.6805208581067856,0.515749613995687,0.6805208581067712,0.5157496139956705,0.5659172538433382,161828,313311,151483,0.5165091554398026,36228,151640,157,161671,0.000263214111328125,0.12646698951721191,0.1262037754058838
Global_Threshold_CV2,Sobel_Torch,0.45284189696193267,0.2818040665434381,0.11776083248881529,0.16610809185323355,0.0905768170497538,0.1661080918532263,0.09057681704974949,0.45284189696193267,161828,67625,94203,0.4178819487356947,139300,48568,142771,19057,0.000263214111328125,0.002365589141845703,0.002102375030517578
Global_Threshold_CV2,Canny_Torch,0.5048070323938506,0.3263606015129705,0.0658476901401488,0.10958509659140575,0.057968806950164015,0.10958509659140012,0.05796880695016086,0.5048070323938506,161828,32651,129177,0.20176360086017253,165873,21995,151172,10656,0.000263214111328125,0.0025930404663085938,0.0023298263549804688
Adaptive_Threshold_CV2,Global_Threshold_CV2,0.670965638726208,0.9224238079936723,0.5928700224797643,0.7218104011024878,0.5647130924278191,0.7218104011024704,0.5647130924277978,0.670965638726208,251782,161828,89954,0.6427306161679548,85360,12554,102508,149274,0.0008480548858642578,0.000263214111328125,0.0005848407745361328
Adaptive_Threshold_CV2,Adaptive_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.9999999999999801,0.9999999999999603,1.0,251782,251782,0,1.0,97914,0,0,251782,0.0008480548858642578,0.0008480548858642578,0.0
Adaptive_Threshold_CV2,Otsu_Thresholding_CV2,0.7642609580893118,0.8960082314150083,0.7608963309529673,0.8229434468005593,0.6991537021425678,0.8229434468005415,0.6991537021425422,0.7642609580893118,251782,213815,37967,0.8492068535479105,75679,22235,60202,191580,0.0008480548858642578,0.0003311634063720703,0.0005168914794921875
Adaptive_Threshold_CV2,Niblack_Thresholding_CV2,0.7872780929721815,0.9261328695518487,0.765618670119389,0.8382609376290968,0.7215569870899883,0.8382609376290786,0.7215569870899612,0.7872780929721815,251782,208144,43638,0.8266834007196702,82539,15375,59013,192769,0.0008480548858642578,0.0015079975128173828,0.000659942626953125
Adaptive_Threshold_CV2,Sauvola_Thresholding_CV2,0.8130862234626647,0.7975135255908967,0.9923544971443551,0.884329038343447,0.7926432332973796,0.8843290383434314,0.7926432332973544,0.8130862234626647,251782,313295,61513,0.803657894316858,34476,63438,1925,249857,0.0008480548858642578,0.0016160011291503906,0.0007679462432861328
Adaptive_Threshold_CV2,Sobel_CV2,0.29325185303806733,0.5364736618454807,0.13538299004694537,0.21620507355995952,0.12120511744668142,0.21620507355995267,0.1212051174466771,0.29325185303806733,251782,63539,188243,0.2523571978934157,68462,29452,217695,34087,0.0008480548858642578,0.0026476383209228516,0.0017995834350585938
Adaptive_Threshold_CV2,Canny_CV2,0.31432158217423134,0.5811199870240461,0.17075485936246435,0.26395100762819823,0.1520412204885915,0.2639510076281901,0.15204122048858612,0.31432158217423134,251782,73983,177799,0.2938375261138604,66924,30990,208789,42993,0.0008480548858642578,0.0007004737854003906,0.0001475811004638672
Adaptive_Threshold_CV2,Global_Threshold_Sklearn,0.6428841050512445,0.8912416140489345,0.5740600996099801,0.698322051995613,0.5364783609234652,0.6983220519955962,0.5364783609234453,0.6428841050512445,251782,162176,89606,0.6441127642166636,80276,17638,107244,144538,0.0008480548858642578,0.023591995239257812,0.022743940353393555
Adaptive_Threshold_CV2,Adaptive_Threshold_Sklearn,0.7487789394216691,0.7553243516860058,0.9630473981460153,0.8466307150576023,0.734049992583152,0.8466307150575875,0.7340499925831298,0.7487789394216691,251782,321025,69243,0.784306518183942,19367,78547,9304,242478,0.0008480548858642578,0.027942657470703125,0.027094602584838867
Adaptive_Threshold_CV2,Otsu_Thresholding_Sklearn,0.7089186035871157,0.8403556225209443,0.7354338276763231,0.7844016876779178,0.6452803362152781,0.7844016876779012,0.6452803362152556,0.7089186035871157,251782,220346,31436,0.8751459595999714,62737,35177,66613,185169,0.0008480548858642578,0.0262911319732666,0.025443077087402344
Adaptive_Threshold_CV2,Niblack_Thresholding_Sklearn,0.4803400668008785,0.8342732816123214,0.34722895202993065,0.4903652807964664,0.3248237964844751,0.49036528079645264,0.3248237964844631,0.4803400668008785,251782,104793,146989,0.4162052887021312,80547,17367,164356,87426,0.0008480548858642578,0.03386211395263672,0.03301405906677246
Adaptive_Threshold_CV2,Sauvola_Thresholding_Sklearn,0.7341004758418741,0.7324980088080959,0.9935221739441262,0.8432728903092269,0.7290162763926734,0.8432728903092127,0.7290162763926522,0.7341004758418741,251782,341504,89722,0.7372739411544228,6561,91353,1631,250151,0.0008480548858642578,0.03257560729980469,0.03172755241394043
Adaptive_Threshold_CV2,Sobel_Sklearn,0.2937951821010249,0.536905872814331,0.139394396740037,0.22132674971858832,0.124433619094216,0.22132674971858132,0.12443361909421158,0.2937951821010249,251782,65369,186413,0.2596253902185224,67642,30272,216685,35097,0.0008480548858642578,0.005554676055908203,0.004706621170043945
Adaptive_Threshold_CV2,Canny_Sklearn,0.28817601573938506,0.546248382923674,0.06708184063991866,0.11948978075853726,0.063541149383775,0.11948978075853303,0.0635411493837726,0.28817601573938506,251782,30920,220862,0.12280464846573623,83884,14030,234892,16890,0.0008480548858642578,0.016101598739624023,0.015253543853759766
Adaptive_Threshold_CV2,Global_Threshold_Torch,0.670965638726208,0.9224238079936723,0.5928700224797643,0.7218104011024878,0.5647130924278191,0.7218104011024704,0.5647130924277978,0.670965638726208,251782,161828,89954,0.6427306161679548,85360,12554,102508,149274,0.0008480548858642578,0.0026438236236572266,0.0017957687377929688
Adaptive_Threshold_CV2,Adaptive_Threshold_Torch,0.9372340547218155,0.9507148039927049,0.9627336346521991,0.9566864727368884,0.9169692980465144,0.9566864727368696,0.9169692980464798,0.9372340547218155,251782,254965,3183,0.9875159335595082,85348,12566,9383,242399,0.0008480548858642578,0.0027163028717041016,0.0018682479858398438
Adaptive_Threshold_CV2,Otsu_Thresholding_Torch,0.7655878248535871,0.8942646587632169,0.7648640490583124,0.8245181758436071,0.7014299659080976,0.8245181758435893,0.7014299659080719,0.7655878248535871,251782,215349,36433,0.8552994256936556,75144,22770,59203,192579,0.0008480548858642578,0.0032515525817871094,0.0024034976959228516
Adaptive_Threshold_CV2,Niblack_Thresholding_Torch,0.787366741398243,0.9261397752873757,0.7657457641928335,0.8383399389945626,0.7216740655342532,0.8383399389945443,0.7216740655342261,0.787366741398243,251782,208177,43605,0.8268144664829098,82538,15376,58981,192801,0.0008480548858642578,0.12664127349853516,0.1257932186126709
Adaptive_Threshold_CV2,Sauvola_Thresholding_Torch,0.8130347501830161,0.7974696068762348,0.9923505254545599,0.8843004602782197,0.7925973156704321,0.884300460278204,0.7925973156704069,0.8130347501830161,251782,313311,61529,0.8036168535416887,34459,63455,1926,249856,0.0008480548858642578,0.12646698951721191,0.12561893463134766
Adaptive_Threshold_CV2,Sobel_Torch,0.29744406570278187,0.5451090573012939,0.1464084009182547,0.23082149107564956,0.1304681748683391,0.23082149107564232,0.13046817486833448,0.29744406570278187,251782,67625,184157,0.26858552239635874,67152,30762,214919,36863,0.0008480548858642578,0.002365589141845703,0.0015175342559814453
Adaptive_Threshold_CV2,Canny_Torch,0.2872294793191801,0.5387277571896726,0.06986202349651682,0.12368466387514811,0.06591891112002189,0.12368466387514375,0.06591891112001941,0.2872294793191801,251782,32651,219131,0.129679643501124,82853,15061,234192,17590,0.0008480548858642578,0.0025930404663085938,0.001744985580444336
