method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,area1,area2,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff
Global_Threshold_CV2,Global_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.999999999999991,0.999999999999982,1.0,555926,555926,0,1.0,256618,0,0,555926,0.0005738735198974609,0.0005738735198974609,0.0
Global_Threshold_CV2,Adaptive_Threshold_CV2,0.7764773353812224,0.8226691861547692,0.8583120775067186,0.8401127526326261,0.7243055344728134,0.8401127526326186,0.7243055344728023,0.7764773353812224,555926,580012,24086,0.9584732729667662,153764,102854,78768,477158,0.0005738735198974609,0.0020492076873779297,0.0014753341674804688
Global_Threshold_CV2,Otsu_Thresholding_CV2,0.9595554209987398,0.9441854382469781,1.0,0.9712915441834867,0.9441854382469781,0.9712915441834782,0.9441854382469621,0.9595554209987398,555926,588789,32863,0.9441854382469781,223755,32863,0,555926,0.0005738735198974609,0.0007126331329345703,0.00013875961303710938
Global_Threshold_CV2,Niblack_Thresholding_CV2,0.6964742832388153,0.8167621841062804,0.7172861136194385,0.7637988629920778,0.6178596994666757,0.7637988629920704,0.6178596994666662,0.6964742832388153,555926,488218,67708,0.8782068116979598,167158,89460,157168,398758,0.0005738735198974609,0.003532886505126953,0.002959012985229492
Global_Threshold_CV2,Sauvola_Thresholding_CV2,0.8625206758034026,0.8356256497666884,0.9947313131603847,0.9082632696669628,0.8319434937303014,0.9082632696669554,0.8319434937302889,0.8625206758034026,555926,661776,105850,0.8400516186745969,147839,108779,2929,552997,0.0005738735198974609,0.0037543773651123047,0.0031805038452148438
Global_Threshold_CV2,Sobel_CV2,0.2599133093100189,0.38893208346169456,0.14307120012375749,0.20919036278301534,0.11681328849006448,0.2091903627830126,0.11681328849006276,0.2599133093100189,555926,204501,351425,0.3678565132769469,131654,124964,476389,79537,0.0005738735198974609,0.006189823150634766,0.005615949630737305
Global_Threshold_CV2,Canny_CV2,0.3195888468809074,0.5110533535484802,0.12732989642506376,0.20386615901249358,0.11350276597450493,0.20386615901249067,0.11350276597450311,0.3195888468809074,555926,138510,417416,0.24915186553606056,188894,67724,485140,70786,0.0005738735198974609,0.0012450218200683594,0.0006711483001708984
Global_Threshold_CV2,Global_Threshold_Sklearn,0.9577549031190926,0.9707241354414844,0.9674309170645014,0.9690747284151046,0.9400048239435389,0.9690747284150959,0.9400048239435225,0.9577549031190926,555926,554040,1886,0.9966074621442422,240398,16220,18106,537820,0.0005738735198974609,0.05437326431274414,0.05379939079284668
Global_Threshold_CV2,Adaptive_Threshold_Sklearn,0.8092275618304978,0.7893878258107825,0.9835931400941852,0.8758542424002159,0.7791287174986036,0.8758542424002089,0.7791287174985925,0.8092275618304978,555926,692695,136769,0.8025552371534369,110728,145890,9121,546805,0.0005738735198974609,0.06428813934326172,0.06371426582336426
Global_Threshold_CV2,Otsu_Thresholding_Sklearn,0.9313920230781348,0.9267382078972919,0.9769537672280124,0.9511836949145122,0.9069116205596959,0.9511836949145038,0.9069116205596807,0.9313920230781348,555926,586049,30123,0.9485998611037644,213683,42935,12812,543114,0.0005738735198974609,0.05965995788574219,0.05908608436584473
Global_Threshold_CV2,Niblack_Thresholding_Sklearn,0.5960907963137996,0.8816626556100047,0.4731511028446232,0.6158184550984,0.44489717217128333,0.6158184550983928,0.4448971721712758,0.5960907963137996,555926,298342,257584,0.5366577566078938,221313,35305,292889,263037,0.0005738735198974609,0.07916665077209473,0.07859277725219727
Global_Threshold_CV2,Sauvola_Thresholding_Sklearn,0.8115905107908002,0.7852417900978433,0.997402531991668,0.8786970456913525,0.7836392852751589,0.8786970456913457,0.7836392852751478,0.8115905107908002,555926,706129,150203,0.7872867422241545,104971,151647,1444,554482,0.0005738735198974609,0.07814764976501465,0.07757377624511719
Global_Threshold_CV2,Sobel_Sklearn,0.25981608380592314,0.3902475495870958,0.14552836168842614,0.21199940254547076,0.11856785889628994,0.21199940254546795,0.11856785889628821,0.25981608380592314,555926,207312,348614,0.3729129416505074,130209,126409,475023,80903,0.0005738735198974609,0.013311624526977539,0.012737751007080078
Global_Threshold_CV2,Canny_Sklearn,0.2967027016383113,0.4062794121196033,0.06056561484801934,0.1054164057608015,0.05564093665823872,0.10541640576079984,0.055640936658237806,0.2967027016383113,555926,82874,473052,0.1490737975917658,207414,49204,522256,33670,0.0005738735198974609,0.04290938377380371,0.04233551025390625
Global_Threshold_CV2,Global_Threshold_Torch,1.0,1.0,1.0,1.0,1.0,0.999999999999991,0.999999999999982,1.0,555926,555926,0,1.0,256618,0,0,555926,0.0005738735198974609,0.007273674011230469,0.006699800491333008
Global_Threshold_CV2,Adaptive_Threshold_Torch,0.7937563996534341,0.8368655535662239,0.8676982188276857,0.8520030309078417,0.7421648783459854,0.8520030309078341,0.742164878345974,0.7937563996534341,555926,576408,20482,0.9644661420382784,162586,94032,73550,482376,0.0005738735198974609,0.0051462650299072266,0.004572391510009766
Global_Threshold_CV2,Otsu_Thresholding_Torch,0.9581388823251418,0.942343289148049,1.0,0.9703159008121368,0.942343289148049,0.9703159008121284,0.942343289148033,0.9581388823251418,555926,589940,34014,0.942343289148049,222604,34014,0,555926,0.0005738735198974609,0.004928112030029297,0.004354238510131836
Global_Threshold_CV2,Niblack_Thresholding_Torch,0.6964287472432262,0.8166471104995116,0.7173598644423899,0.7637903478338312,0.6178485554577792,0.7637903478338238,0.6178485554577696,0.6964287472432262,555926,488337,67589,0.8784208689645744,167080,89538,157127,398799,0.0005738735198974609,0.2840580940246582,0.28348422050476074
Global_Threshold_CV2,Sauvola_Thresholding_Torch,0.8625785188248267,0.8356768846005637,0.9947457035648629,0.9082995324681298,0.8320043450394634,0.9082995324681222,0.8320043450394509,0.8625785188248267,555926,661745,105819,0.8400909715978209,147878,108740,2921,553005,0.0005738735198974609,0.28453922271728516,0.2839653491973877
Global_Threshold_CV2,Sobel_Torch,0.2626097786704474,0.39473735465399373,0.14582516378079097,0.21297310645765521,0.11917733707716507,0.2129731064576524,0.11917733707716333,0.2626097786704474,555926,205372,350554,0.3694232685645212,132314,124304,474858,81068,0.0005738735198974609,0.0044786930084228516,0.0039048194885253906
Global_Threshold_CV2,Canny_Torch,0.262593779536862,0.4070453715047177,0.17033382140788522,0.24016658191313037,0.13647120201536891,0.2401665819131273,0.13647120201536694,0.262593779536862,555926,232635,323291,0.4184639682259869,118676,137942,461233,94693,0.0005738735198974609,0.004233360290527344,0.003659486770629883
Adaptive_Threshold_CV2,Global_Threshold_CV2,0.7764773353812224,0.8583120775067186,0.8226691861547692,0.8401127526326261,0.7243055344728134,0.8401127526326186,0.7243055344728023,0.7764773353812224,580012,555926,24086,0.9584732729667662,153764,78768,102854,477158,0.0020492076873779297,0.0005738735198974609,0.0014753341674804688
Adaptive_Threshold_CV2,Adaptive_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.9999999999999913,0.9999999999999828,1.0,580012,580012,0,1.0,232532,0,0,580012,0.0020492076873779297,0.0020492076873779297,0.0
Adaptive_Threshold_CV2,Otsu_Thresholding_CV2,0.7984195317422811,0.8534534442729059,0.8663682820355441,0.8598623717809961,0.7541741895881267,0.8598623717809887,0.7541741895881153,0.7984195317422811,580012,588789,8777,0.9850931318350037,146247,86285,77508,502504,0.0020492076873779297,0.0007126331329345703,0.0013365745544433594
Adaptive_Threshold_CV2,Niblack_Thresholding_CV2,0.794723731884058,0.9231880020810376,0.7770821982993456,0.8438575962105539,0.7298907067543517,0.843857596210546,0.7298907067543399,0.794723731884058,580012,488218,91794,0.8417377571498521,195031,37501,129295,450717,0.0020492076873779297,0.003532886505126953,0.0014836788177490234
Adaptive_Threshold_CV2,Sauvola_Thresholding_CV2,0.8509422258979206,0.8467155049442712,0.96607656393316,0.9024664435475298,0.8222677459307479,0.9024664435475226,0.8222677459307358,0.8509422258979206,580012,661776,81764,0.8764476197384009,131092,101440,19676,560336,0.0020492076873779297,0.0037543773651123047,0.001705169677734375
Adaptive_Threshold_CV2,Sobel_CV2,0.2948677240863264,0.5172639742592946,0.18237726116011393,0.2696730328241852,0.15585091022671688,0.26967303282418176,0.15585091022671457,0.2948677240863264,580012,204501,375511,0.35258063626269803,133812,98720,474231,105781,0.0020492076873779297,0.006189823150634766,0.004140615463256836
Adaptive_Threshold_CV2,Canny_CV2,0.31521246849401385,0.5851635260991986,0.13974021227147024,0.22560478315208163,0.127144607362531,0.2256047831520785,0.127144607362529,0.31521246849401385,580012,138510,441502,0.2388054040261236,175073,57459,498961,81051,0.0020492076873779297,0.0012450218200683594,0.0008041858673095703
Adaptive_Threshold_CV2,Global_Threshold_Sklearn,0.7417395242596093,0.8340589127138834,0.7967111025289132,0.8149573388169149,0.6877029540888459,0.8149573388169077,0.6877029540888356,0.7417395242596093,580012,554040,25972,0.9552216161044944,140594,91938,117910,462102,0.0020492076873779297,0.05437326431274414,0.05232405662536621
Adaptive_Threshold_CV2,Adaptive_Threshold_Sklearn,0.7952689331285444,0.7985866795631555,0.9537337158541548,0.8692919894366888,0.7688032465637291,0.8692919894366821,0.7688032465637185,0.7952689331285444,580012,692695,112683,0.8373266733555172,93014,139518,26835,553177,0.0020492076873779297,0.06428813934326172,0.06223893165588379
Adaptive_Threshold_CV2,Otsu_Thresholding_Sklearn,0.762869456915564,0.8304612754223623,0.8391050529989035,0.8347607886722908,0.7163857691684944,0.8347607886722835,0.7163857691684837,0.762869456915564,580012,586049,6037,0.9896988135804344,133174,99358,93321,486691,0.0020492076873779297,0.05965995788574219,0.05761075019836426
Adaptive_Threshold_CV2,Niblack_Thresholding_Sklearn,0.5638956167296786,0.8781867789315617,0.4517147921077495,0.5965704032770387,0.42508039211232507,0.5965704032770318,0.42508039211231813,0.5638956167296786,580012,298342,281670,0.5143721164389702,196190,36342,318012,262000,0.0020492076873779297,0.07916665077209473,0.0771174430847168
Adaptive_Threshold_CV2,Sauvola_Thresholding_Sklearn,0.787515506852552,0.7884451707832422,0.959883588615408,0.8657588864673469,0.763293515054216,0.8657588864673401,0.7632935150542055,0.787515506852552,580012,706129,126117,0.8213966569847719,83147,149385,23268,556744,0.0020492076873779297,0.07814764976501465,0.07609844207763672
Adaptive_Threshold_CV2,Sobel_Sklearn,0.2947581915563957,0.5168152350081038,0.18472376433591028,0.27216749394150314,0.1575196050468845,0.27216749394149964,0.1575196050468822,0.2947581915563957,580012,207312,372700,0.3574270877154266,132362,100170,472870,107142,0.0020492076873779297,0.013311624526977539,0.01126241683959961
Adaptive_Threshold_CV2,Canny_Sklearn,0.3011135396975425,0.5732195863600165,0.08190347785907878,0.14332781202197664,0.07719607852696135,0.14332781202197448,0.07719607852696009,0.3011135396975425,580012,82874,497138,0.142883250691365,197163,35369,532507,47505,0.0020492076873779297,0.04290938377380371,0.04086017608642578
Adaptive_Threshold_CV2,Global_Threshold_Torch,0.7764773353812224,0.8583120775067186,0.8226691861547692,0.8401127526326261,0.7243055344728134,0.8401127526326186,0.7243055344728023,0.7764773353812224,580012,555926,24086,0.9584732729667662,153764,78768,102854,477158,0.0020492076873779297,0.007273674011230469,0.005224466323852539
Adaptive_Threshold_CV2,Adaptive_Threshold_Torch,0.9350435176433523,0.9573427155764667,0.9513941090873982,0.9543591428719669,0.9127026132980482,0.9543591428719587,0.9127026132980331,0.9350435176433523,580012,576408,3604,0.9937863354551285,207944,24588,28192,551820,0.0020492076873779297,0.0051462650299072266,0.003097057342529297
Adaptive_Threshold_CV2,Otsu_Thresholding_Torch,0.7992157963137996,0.8533122012408042,0.8679182499672421,0.8605532534668089,0.7552377994716067,0.8605532534668016,0.7552377994715954,0.7992157963137996,580012,589940,9928,0.9831711699494864,145995,86537,76609,503403,0.0020492076873779297,0.004928112030029297,0.002878904342651367
Adaptive_Threshold_CV2,Niblack_Thresholding_Torch,0.7947717292848141,0.9231248093017732,0.7772184023778819,0.8439114933415953,0.7299713546853468,0.8439114933415874,0.729971354685335,0.7947717292848141,580012,488337,91675,0.8419429253187866,194991,37541,129216,450796,0.0020492076873779297,0.2840580940246582,0.2820088863372803
Adaptive_Threshold_CV2,Sauvola_Thresholding_Torch,0.8508696144454947,0.8466871680178921,0.9659989793314621,0.9024164953368493,0.8221848191986101,0.9024164953368421,0.822184819198598,0.8508696144454947,580012,661745,81733,0.876488677662846,131078,101454,19721,560291,0.0020492076873779297,0.28453922271728516,0.2824900150299072
Adaptive_Threshold_CV2,Sobel_Torch,0.29715067737870193,0.5217069512883937,0.1847272125404302,0.27284487588237094,0.1579735786742156,0.27284487588236744,0.15797357867421327,0.29715067737870193,580012,205372,374640,0.3540823293311173,134304,98228,472868,107144,0.0020492076873779297,0.0044786930084228516,0.002429485321044922
Adaptive_Threshold_CV2,Canny_Torch,0.2980749350189036,0.5207771831409719,0.20887671289559526,0.29816390142337323,0.17520130268287887,0.29816390142336957,0.17520130268287631,0.2980749350189036,580012,232635,347377,0.40108652924422256,121048,111484,458861,121151,0.0020492076873779297,0.004233360290527344,0.002184152603149414
