method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,area1,area2,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff
Global_Threshold_CV2,Global_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.9999999999999805,0.999999999999961,1.0,256790,256790,0,1.0,191560,0,0,256790,0.0009493827819824219,0.0009493827819824219,0.0
Global_Threshold_CV2,Adaptive_Threshold_CV2,0.6422460131593621,0.668140064680661,0.745803964328829,0.7048390866148108,0.5442096648613013,0.7048390866147978,0.5442096648612859,0.6422460131593621,256790,286639,29849,0.8958655312082445,96436,95124,65275,191515,0.0009493827819824219,0.0015308856964111328,0.0005815029144287109
Global_Threshold_CV2,Otsu_Thresholding_CV2,0.9151957176313148,0.871029673147633,1.0,0.9310698655914953,0.871029673147633,0.9310698655914784,0.8710296731476035,0.9151957176313148,256790,294812,38022,0.871029673147633,153538,38022,0,256790,0.0009493827819824219,0.0008966922760009766,5.269050598144531e-05
Global_Threshold_CV2,Niblack_Thresholding_CV2,0.6810393665662986,0.7269181065428613,0.7097238989057206,0.7182181097366337,0.5603278648203261,0.7182181097366195,0.5603278648203089,0.6810393665662986,256790,250716,6074,0.9763464309357841,123094,68466,74540,182250,0.0009493827819824219,0.002545595169067383,0.001596212387084961
Global_Threshold_CV2,Sauvola_Thresholding_CV2,0.6941942678710828,0.6533739658195016,0.9927294676583979,0.7880714857625117,0.6502623517017787,0.7880714857624995,0.650262351701762,0.6941942678710828,256790,390164,133374,0.6581591330824986,56319,135241,1867,254923,0.0009493827819824219,0.0026171207427978516,0.0016677379608154297
Global_Threshold_CV2,Sobel_CV2,0.49047619047619045,0.5976356634540532,0.337828575879123,0.43165392452238727,0.2752287465576974,0.43165392452237655,0.2752287465576887,0.49047619047619045,256790,145157,111633,0.565275127536119,133154,58406,170039,86751,0.0009493827819824219,0.004088878631591797,0.003139495849609375
Global_Threshold_CV2,Canny_CV2,0.4900390320062451,0.6238026124818578,0.27616729623427705,0.3828436466698158,0.23673879515819976,0.3828436466698054,0.23673879515819182,0.4900390320062451,256790,113685,143105,0.4427158378441528,148792,42768,185873,70917,0.0009493827819824219,0.001729726791381836,0.0007803440093994141
Global_Threshold_CV2,Global_Threshold_Sklearn,0.9096933199509312,0.8898706205096593,0.9612952217765489,0.9242050128137689,0.8590902763276954,0.9242050128137516,0.8590902763276654,0.9096933199509312,256790,277401,20611,0.9256996189631617,161010,30550,9939,246851,0.0009493827819824219,0.033127546310424805,0.03217816352844238
Global_Threshold_CV2,Adaptive_Threshold_Sklearn,0.6164737370357979,0.6100011929027473,0.9160208730869582,0.732327320502363,0.5776943309944766,0.7323273205023516,0.5776943309944624,0.6164737370357979,256790,385614,128824,0.6659249923498628,41171,150389,21565,235225,0.0009493827819824219,0.039739370346069336,0.038789987564086914
Global_Threshold_CV2,Otsu_Thresholding_Sklearn,0.8760298873647819,0.8256636022271138,0.9932785544608435,0.9017482455675169,0.8210760801684233,0.901748245567501,0.8210760801683967,0.8760298873647819,256790,308920,52130,0.8312508092710087,137704,53856,1726,255064,0.0009493827819824219,0.03482985496520996,0.03388047218322754
Global_Threshold_CV2,Niblack_Thresholding_Sklearn,0.6025404260064682,0.8163171664318777,0.3949024494723315,0.5322992533102371,0.362675602987039,0.5322992533102231,0.362675602987026,0.6025404260064682,256790,124225,132565,0.48376104988512014,168742,22818,155383,101407,0.0009493827819824219,0.042832374572753906,0.041882991790771484
