method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,area1,area2,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff
Global_Threshold_CV2,Global_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.9999999999999674,0.9999999999999347,1.0,153393,153393,0,1.0,461007,0,0,153393,0.0005083084106445312,0.0005083084106445312,0.0
Global_Threshold_CV2,Adaptive_Threshold_CV2,0.5999283854166667,0.3692910022376301,0.8510427464095494,0.5150761897997995,0.3468704496901804,0.5150761897997894,0.3468704496901711,0.5999283854166667,153393,353499,200106,0.43392767730601783,238052,222955,22849,130544,0.0005083084106445312,0.0015788078308105469,0.0010704994201660156
Global_Threshold_CV2,Otsu_Thresholding_CV2,0.8889664713541666,0.6921691966139017,1.0,0.8180850921987707,0.6921691966139017,0.8180850921987488,0.6921691966138706,0.8889664713541666,153393,221612,68219,0.6921691966139017,392788,68219,0,153393,0.0005083084106445312,0.0005435943603515625,3.528594970703125e-05
Global_Threshold_CV2,Niblack_Thresholding_CV2,0.5680289713541666,0.3341152914274882,0.7353790590183386,0.4594720645530512,0.2982562366970294,0.4594720645530418,0.2982562366970215,0.5680289713541666,153393,337614,184221,0.45434431036627626,236195,224812,40591,112802,0.0005083084106445312,0.002774953842163086,0.0022666454315185547
Global_Threshold_CV2,Sauvola_Thresholding_CV2,0.47443196614583333,0.32175498513187833,0.9974314342897003,0.48655524584716026,0.3214886070416971,0.4865552458471525,0.32148860704169036,0.47443196614583333,153393,475514,322121,0.32258356220847334,138492,322515,394,152999,0.0005083084106445312,0.0029468536376953125,0.0024385452270507812
Global_Threshold_CV2,Sobel_CV2,0.4826220703125,0.1530634628689064,0.23654273663074588,0.18585972416089333,0.10245058038575676,0.18585972416088858,0.10245058038575386,0.4826220703125,153393,237052,83659,0.6470858714543645,260239,200768,117109,36284,0.0005083084106445312,0.004628896713256836,0.004120588302612305
Global_Threshold_CV2,Canny_CV2,0.5436165364583333,0.15931610542748775,0.19360075101210616,0.17479311116081414,0.09576619079713253,0.17479311116080898,0.09576619079712943,0.5436165364583333,153393,186403,33010,0.8229105754735707,304301,156706,123696,29697,0.0005083084106445312,0.0010488033294677734,0.0005404949188232422
Global_Threshold_CV2,Global_Threshold_Sklearn,0.944873046875,0.918073384868306,0.855540996003729,0.885704837044186,0.7948565752495397,0.8857048370441561,0.7948565752494915,0.944873046875,153393,142945,10448,0.9318873742608854,449296,11711,22159,131234,0.0005083084106445312,0.03941535949707031,0.03890705108642578
Global_Threshold_CV2,Adaptive_Threshold_Sklearn,0.4944352213541667,0.32293890825878174,0.9347297464682222,0.48003200637449134,0.3158171806167401,0.4800320063744833,0.31581718061673314,0.4944352213541667,153393,443988,290595,0.34548906727208845,160400,300607,10012,143381,0.0005083084106445312,0.05003666877746582,0.04952836036682129
Global_Threshold_CV2,Otsu_Thresholding_Sklearn,0.8449430338541667,0.6239984299135599,0.9534594147060166,0.7543240281090838,0.6055539683919825,0.7543240281090644,0.6055539683919574,0.8449430338541667,153393,234382,80989,0.6544572535433608,372879,88128,7139,146254,0.0005083084106445312,0.05037236213684082,0.04986405372619629
