iou,dice,precision,recall,f1_score,pixel_accuracy,mae,hausdorff_distance,predicted_area,ground_truth_area,area_difference,method,time
0.0,6.179400350951754e-12,0.0,0.0,0.0,0.5372323389458272,0.4687045216560364,inf,161828.0,0.0,161828.0,Global_Threshold_CV2,0.013303995132446289
0.0,3.971532058191e-12,0.0,0.0,0.0,0.2799688872620791,0.7139991521835327,inf,251792.0,0.0,251792.0,Adaptive_Threshold_CV2,0.014322280883789062
0.0,4.676874725211736e-12,0.0,0.0,0.0,0.38856034956076135,0.6102220416069031,inf,213818.0,0.0,213818.0,Otsu_CV2,0.011429548263549805
0.0,7.504859396402884e-12,0.0,0.0,0.0,0.618963328147877,0.388535737991333,inf,133247.0,0.0,133247.0,Region_Growing_CV2,0.8153445720672607
0.0,1.0974539069238648e-11,0.0,0.0,0.0,0.7394308199121523,0.26209956407546997,inf,91120.0,0.0,91120.0,Split_and_Merge_CV2,1.3325865268707275
0.0,4.5110068565269304e-11,0.0,0.0,0.0,0.9366077964860908,0.07816122472286224,inf,22168.0,0.0,22168.0,Sobel_CV2,0.01335287094116211
0.0,2.1073039153262675e-11,0.0,0.0,0.0,0.8642992770863837,0.14769001305103302,inf,47454.0,0.0,47454.0,Canny_CV2,0.010628461837768555
0.0,4.995354320456998e-12,0.0,0.0,0.0,0.4275427800146413,0.5660597681999207,inf,200186.0,0.0,200186.0,KMeans_CV2,0.3879668712615967
0.0,2.0235951190476232e-11,0.0,0.0,0.0,0.8586858299780381,0.15514442324638367,inf,49417.0,0.0,49417.0,Active_Contour_CV2,0.36575913429260254
0.0,8.333332638888946e-08,0.0,0.0,0.0,0.9999656844802343,0.016094595193862915,inf,12.0,0.0,12.0,GVF_Contour_CV2,0.44371724128723145
0.0,8.333332638888946e-08,0.0,0.0,0.0,0.9999656844802343,0.016094595193862915,inf,12.0,0.0,12.0,GVF_Contour_CV2,0.4505314826965332
0.0,2.4307243557989613e-11,0.0,0.0,0.0,0.8823549597364568,0.1285087913274765,inf,41140.0,0.0,41140.0,Watershed_CV2,0.025387048721313477
0.0,7.349590627748015e-12,0.0,0.0,0.0,0.610913479136164,0.3964548408985138,inf,136062.0,0.0,136062.0,FloodFill_CV2,0.02164149284362793
0.0,2.8599456038264358e-12,0.0,0.0,0.0,0.000111525439238653,0.9838293194770813,inf,349657.0,0.0,349657.0,Morphological_Snakes_CV2,1.5968084335327148
0.0,3.0167368560684172e-12,0.0,0.0,0.0,0.05207952049780381,0.9324753880500793,inf,331484.0,0.0,331484.0,Slic_CV2,0.3729066848754883
0.0,3.5834972783209753e-12,0.0,0.0,0.0,0.20200116672767204,0.7866586446762085,inf,279057.0,0.0,279057.0,Felzenszwalb_CV2,0.5582578182220459
0.0,2.859626647136771e-12,0.0,0.0,0.0,0.0,0.9839391112327576,inf,349696.0,0.0,349696.0,Chan_Vese_CV2,0.09445691108703613
0.0,4.1291601286592964e-11,0.0,0.0,0.0,0.9307455618594437,0.08333461731672287,inf,24218.0,0.0,24218.0,Threshold_Niblack_CV2,0.012644290924072266
0.0,6.6994493052222235e-12,0.0,0.0,0.0,0.573154968887262,0.4268040955066681,inf,149266.0,0.0,149266.0,Threshold_Sauvola_CV2,0.01502370834350586
0.0,3.2072252370036584e-12,0.0,0.0,0.0,0.10837984992679356,0.8805950284004211,inf,311796.0,0.0,311796.0,Random_Walker_CV2,5.404391288757324
