method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.0016231536865234375,80923,62.44058641975309,"(270, 480, 3)"
Adaptive_Threshold_CV2,0.0021300315856933594,105337,81.27854938271605,"(270, 480, 3)"
Otsu_CV2,0.0014317035675048828,62730,48.40277777777778,"(270, 480, 3)"
Region_Growing_CV2,0.12219929695129395,48101,37.11496913580247,"(270, 480, 3)"
Split_and_Merge_CV2,0.23969507217407227,26552,20.487654320987655,"(270, 480, 3)"
Sobel_CV2,0.0017409324645996094,8838,6.819444444444445,"(270, 480, 3)"
Canny_CV2,0.0011222362518310547,8844,6.824074074074074,"(270, 480, 3)"
KMeans_CV2,0.15771818161010742,69744,53.81481481481482,"(270, 480, 3)"
Active_Contour_CV2,0.10291910171508789,8799,6.789351851851852,"(270, 480, 3)"
GVF_Contour_CV2,0.08572077751159668,7,0.005401234567901235,"(270, 480, 3)"
Watershed_CV2,0.0043697357177734375,47073,36.32175925925926,"(270, 480, 3)"
GrabCut_CV2,0.4268167018890381,9396,7.249999999999999,"(270, 480, 3)"
FloodFill_CV2,0.003551006317138672,44559,34.38194444444444,"(270, 480, 3)"
Morphological_Snakes_CV2,0.3007781505584717,129600,100.0,"(270, 480, 3)"
Slic_CV2,0.06401419639587402,124199,95.83256172839506,"(270, 480, 3)"
Felzenszwalb_CV2,0.0823357105255127,106376,82.08024691358024,"(270, 480, 3)"
Chan_Vese_CV2,0.011332511901855469,129600,100.0,"(270, 480, 3)"
Threshold_Niblack_CV2,0.0014388561248779297,4365,3.3680555555555554,"(270, 480, 3)"
Threshold_Sauvola_CV2,0.0019876956939697266,44848,34.604938271604944,"(270, 480, 3)"
Random_Walker_CV2,0.5998592376708984,114154,88.0817901234568,"(270, 480, 3)"
Global_Threshold_Torch,0.03239178657531738,80923,62.44058641975309,"(270, 480, 3)"
Adaptive_Threshold_Torch,0.031667470932006836,104578,80.6929012345679,"(270, 480, 3)"
Otsu_Torch,0.02735304832458496,62839,48.48688271604939,"(270, 480, 3)"
Split_and_Merge_Torch,0.008682727813720703,8160,6.296296296296296,"(270, 480, 3)"
Sobel_Torch,0.004110574722290039,14416,11.123456790123457,"(270, 480, 3)"
Canny_Torch,0.004166364669799805,18393,14.19212962962963,"(270, 480, 3)"
KMeans_Torch,0.010071277618408203,71213,54.948302469135804,"(270, 480, 3)"
Watershed_Torch,186.33211874961853,122958,94.875,"(270, 480, 3)"
Grabcut_Torch,0.011360645294189453,64395,49.6875,"(270, 480, 3)"
FloodFill_Torch,8.561708688735962,54738,42.236111111111114,"(270, 480, 3)"
Neural_SegFormer,0.07375884056091309,129600,100.0,"(270, 480, 3)"
