method,accuracy,precision,recall,f1_score,jaccard
sklearn_meanshift,0.914611393352237,0.9140681217774926,1.0,0.9551051097686601,0.9140681217774926
skimage_quickshift,0.9092541450063012,0.9099715366974176,0.9989200907828326,0.9523734474622317,0.9090772328700569
skimage_watershed,0.9082917355860114,0.9082915098542599,1.0,0.951942096020359,0.9082915098542599
skimage_slic,0.8781149082388153,0.9111204045655167,0.9593970393956844,0.9346357303378202,0.8772921684657091
skimage_random_walker,0.845768352236925,0.9398942883850763,0.8869130449510518,0.9126353830881286,0.8393094357622416
skimage_threshold_sauvola,0.7439055608065532,0.8918487254529348,0.8171389858067138,0.8528608581655266,0.7434676640896891
skimage_chan_vese,0.595838502284184,0.9999853529213598,0.5550381084651604,0.7138541540504486,0.5550335961497552
skimage_threshold_niblack,0.5668136125551355,0.9227132170012965,0.5708925849395345,0.70536701575107,0.5448393670892624
sklearn_dbscan,0.5477032628386893,0.8652082544789301,0.5946803970055214,0.7048789477783872,0.5442571924603175
sklearn_kmeans,0.4227672593730309,0.8217448508480253,0.4654503573727177,0.5942866040110548,0.4227651281596867
skimage_threshold_otsu,0.3893586070415879,0.8093828512364978,0.4286535008976661,0.5604759378042267,0.38934808560914674
sklearn_gmm,0.4375947640989288,1.0,0.3808082382033129,0.5515729522280587,0.3808082382033129
skimage_active_contour,0.2678181120037807,1.0,0.19388909589783543,0.3248025240602869,0.19388909589783543
skimage_canny,0.18885131143667297,0.9995696148052508,0.1069950204938857,0.19329909525301583,0.10699009157804458
skimage_sobel,0.16467538988657845,0.9994103475579965,0.08037939094204126,0.14879192156331594,0.08037557922120153
