method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,sklearn_kmeans_area,sklearn_dbscan_area,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff,sklearn_meanshift_area,sklearn_gmm_area,skimage_felzenszwalb_area,skimage_slic_area,skimage_quickshift_area,skimage_watershed_area
sklearn_kmeans,sklearn_dbscan,0.44775667533081287,0.4697475082008579,0.570021290338014,0.5150492708263535,0.3468460338162001,0.515049270826348,0.34684603381619505,0.44775667533081287,418030.0,507264.0,18446744073709462382,0.8240876545546141,125536,268978,179744,238286,0.2462327480316162,0.8417439460754395,0.5955111980438232,,,,,,
sklearn_kmeans,sklearn_meanshift,0.508148481805293,0.5113814965686451,0.9877114082721336,0.6738706273761932,0.508148481805293,0.6738706273761876,0.5081484818052867,0.508148481805293,418030.0,,18446744073709162239,0.5177438392285363,0,394514,5137,412893,0.2462327480316162,23.690854787826538,23.444622039794922,807407.0,,,,,
sklearn_kmeans,sklearn_gmm,0.3175212665406427,0.2571322843947254,0.17287276032820612,0.20674719200773592,0.11529171519280165,0.20674719200773298,0.1152917151927998,0.3175212665406427,418030.0,,136984,0.6723105997177075,185734,208780,345764,72266,0.2462327480316162,5.966903924942017,5.7206711769104,,281046.0,,,,
sklearn_kmeans,skimage_felzenszwalb,0.4227672593730309,0.4654503573727177,0.8217448508480253,0.5942866040110548,0.4227651281596867,0.5942866040110497,0.4227651281596815,0.4227672593730309,418030.0,,18446744073709231621,0.5664171267910901,3,394511,74516,343514,0.2462327480316162,0.6104447841644287,0.3642120361328125,,,738025.0,,,
sklearn_kmeans,skimage_slic,0.4726414815689981,0.4932623885321632,0.9169892113006244,0.6414689246628067,0.4721783228282734,0.6414689246628013,0.47217832282826755,0.4726414815689981,418030.0,,18446744073709192516,0.5379151493315077,713,393801,34701,383329,0.2462327480316162,0.42122721672058105,0.17499446868896484,,,,777130.0,,
sklearn_kmeans,skimage_quickshift,0.5115439902331443,0.5130454746311249,0.9943114130564792,0.6768496233500191,0.5115439902331443,0.6768496233500135,0.511543990233138,0.5115439902331443,418030.0,,18446744073709159480,0.5159806755652482,0,394514,2378,415652,0.2462327480316162,2.780231237411499,2.533998489379883,,,,,810166.0,
sklearn_kmeans,skimage_watershed,0.5144681395715186,0.5144694058891724,0.9999952156543789,0.6794043745510218,0.5144681395715186,0.6794043745510163,0.5144681395715123,0.5144681395715186,418030.0,,18446744073709157104,0.5144718673003916,0,394514,2,418028,0.2462327480316162,0.1785285472869873,0.0677042007446289,,,,,,812542.0
sklearn_dbscan,sklearn_meanshift,0.6179689961405167,0.6219007266471557,0.9898731232652032,0.7638823705702795,0.6179689961405167,0.7638823705702737,0.617968996140509,0.6179689961405167,,507264.0,18446744073709251473,0.6282630693070456,0,305280,5137,502127,0.8417439460754395,23.690854787826538,22.8491108417511,807407.0,,,,,
sklearn_dbscan,sklearn_gmm,0.43562194785759295,0.586608597880774,0.3250063083522584,0.4182719995940683,0.26443990337575346,0.418271999594063,0.26443990337574924,0.43562194785759295,,507264.0,226218,0.5540428652535848,189098,116182,342400,164864,0.8417439460754395,5.966903924942017,5.125159978866577,,281046.0,,,,
sklearn_dbscan,skimage_felzenszwalb,0.5477032628386893,0.5946803970055214,0.8652082544789301,0.7048789477783872,0.5442571924603175,0.7048789477783816,0.5442571924603107,0.5477032628386893,,507264.0,18446744073709320855,0.6873263100843374,6144,299136,68375,438889,0.8417439460754395,0.6104447841644287,0.23129916191101074,,,738025.0,,,
sklearn_dbscan,skimage_slic,0.6354806632010082,0.6358048203003358,0.9740549299772899,0.7693947495861861,0.6252165341627325,0.7693947495861801,0.6252165341627245,0.6354806632010082,,507264.0,18446744073709281750,0.6527402107755375,22253,283027,13161,494103,0.8417439460754395,0.42122721672058105,0.4205167293548584,,,,777130.0,,
sklearn_dbscan,skimage_quickshift,0.6238505237870196,0.6244349923349042,0.9973031794095383,0.7680043721488049,0.6233823844718768,0.768004372148799,0.623382384471869,0.6238505237870196,,507264.0,18446744073709248714,0.6261235351767338,1010,304270,1368,505896,0.8417439460754395,2.780231237411499,1.9384872913360596,,,,,810166.0,
sklearn_dbscan,skimage_watershed,0.6242886539067423,0.624290190537843,0.9999960572798385,0.7686917622741524,0.6242886539067423,0.7686917622741466,0.6242886539067346,0.6242886539067423,,507264.0,18446744073709246338,0.6242926519490608,0,305280,2,507262,0.8417439460754395,0.1785285472869873,0.6632153987884521,,,,,,812542.0
sklearn_meanshift,sklearn_gmm,0.35220615745116574,1.0,0.3480846710518982,0.5164136623262557,0.3480846710518982,0.516413662326251,0.34808467105189395,0.35220615745116574,,,526361,0.34808467105189395,5137,0,526361,281046,23.690854787826538,5.966903924942017,17.72395086288452,807407.0,281046.0,,,,
sklearn_meanshift,skimage_felzenszwalb,0.914611393352237,1.0,0.9140681217774926,0.9551051097686601,0.9140681217774926,0.9551051097686539,0.9140681217774813,0.914611393352237,,,69382,0.9140681217774813,5137,0,69382,738025,23.690854787826538,0.6104447841644287,23.08041000366211,807407.0,,738025.0,,,
sklearn_meanshift,skimage_slic,0.950093779536862,0.9933897803456307,0.9561386017213128,0.9744082971871278,0.950093779536862,0.9744082971871217,0.9500937795368503,0.950093779536862,,,30277,0.9625009443811985,0,5137,35414,771993,23.690854787826538,0.42122721672058105,23.269627571105957,807407.0,,,777130.0,,
sklearn_meanshift,skimage_quickshift,0.9907512700850661,0.9936593241385099,0.9970547691560762,0.9953541509409467,0.9907512700850661,0.9953541509409406,0.9907512700850539,0.9907512700850661,,,18446744073709548857,0.9965945250726271,0,5137,2378,805029,23.690854787826538,2.780231237411499,20.91062355041504,807407.0,,,,810166.0,
sklearn_meanshift,skimage_watershed,0.9936754194234405,0.9936778652672723,0.9999975229345299,0.9968276779083786,0.9936754194234405,0.9968276779083725,0.9936754194234282,0.9936754194234405,,,18446744073709546481,0.9936803266784856,0,5137,2,807405,23.690854787826538,0.1785285472869873,23.51232624053955,807407.0,,,,,812542.0
sklearn_gmm,skimage_felzenszwalb,0.4375947640989288,0.3808082382033129,1.0,0.5515729522280587,0.3808082382033129,0.5515729522280532,0.3808082382033077,0.4375947640989288,,,18446744073709094637,0.3808082382033077,74519,456979,0,281046,5.966903924942017,0.6104447841644287,5.356459140777588,,281046.0,738025.0,,,
sklearn_gmm,skimage_slic,0.3714358853182105,0.35221906244772433,0.9739330928033133,0.5173430506834402,0.3489297041516669,0.5173430506834353,0.3489297041516624,0.3714358853182105,,,18446744073709055532,0.3616460566443148,28088,503410,7326,273720,5.966903924942017,0.42122721672058105,5.5456767082214355,,281046.0,,777130.0,,
sklearn_gmm,skimage_quickshift,0.34881064902331443,0.34689927743203247,1.0,0.5151079716865283,0.34689927743203247,0.5151079716865237,0.34689927743202814,0.34881064902331443,,,18446744073709022496,0.34689927743202814,2378,529120,0,281046,5.966903924942017,2.780231237411499,3.1866726875305176,,281046.0,,,810166.0,
sklearn_gmm,skimage_watershed,0.3458864996849401,0.3458848896426277,1.0,0.513988814800455,0.3458848896426277,0.5139888148004503,0.3458848896426234,0.3458864996849401,,,18446744073709020120,0.3458848896426234,2,531496,0,281046,5.966903924942017,0.1785285472869873,5.788375377655029,,281046.0,,,,812542.0
skimage_felzenszwalb,skimage_slic,0.8781149082388153,0.9111204045655167,0.9593970393956844,0.9346357303378202,0.8772921684657091,0.934635730337814,0.8772921684656982,0.8781149082388153,,,18446744073709512511,0.9496802336803244,5448,69071,29966,708059,0.6104447841644287,0.42122721672058105,0.18921756744384766,,,738025.0,777130.0,,
skimage_felzenszwalb,skimage_quickshift,0.9092541450063012,0.9099715366974176,0.9989200907828326,0.9523734474622317,0.9090772328700569,0.9523734474622255,0.9090772328700457,0.9092541450063012,,,18446744073709479475,0.9109552857068686,1581,72938,797,737228,0.6104447841644287,2.780231237411499,2.1697864532470703,,,738025.0,,810166.0,
skimage_felzenszwalb,skimage_watershed,0.9082917355860114,0.9082915098542599,1.0,0.951942096020359,0.9082915098542599,0.9519420960203528,0.9082915098542487,0.9082917355860114,,,18446744073709477099,0.9082915098542487,2,74517,0,738025,0.6104447841644287,0.1785285472869873,0.4319162368774414,,,738025.0,,,812542.0
skimage_slic,skimage_quickshift,0.9593425094517959,0.9592231715475594,1.0,0.9791872467391085,0.9592231715475594,0.9791872467391023,0.9592231715475475,0.9593425094517959,,,18446744073709518580,0.9592231715475475,2378,33036,0,777130,0.42122721672058105,2.780231237411499,2.359004020690918,,,,777130.0,810166.0,
skimage_slic,skimage_watershed,0.9564134373030876,0.9564157914298584,0.9999974264280107,0.9777211902832785,0.9564134373030876,0.9777211902832724,0.9564134373030758,0.9564134373030876,,,18446744073709516204,0.9564182528410721,0,35414,2,777128,0.42122721672058105,0.1785285472869873,0.24269866943359375,,,,777130.0,,812542.0
skimage_quickshift,skimage_watershed,0.9970709278512917,0.9970733820528662,0.9999975313701143,0.998533315913892,0.9970709278512917,0.9985333159138859,0.9970709278512795,0.9970709278512917,,,18446744073709549240,0.9970758434640794,0,2378,2,810164,2.780231237411499,0.1785285472869873,2.6017026901245117,,,,,810166.0,812542.0
