Method,Mean_Time_s,Std_Time_s,Time_String,Mask_Area,Mask_Percentage,Min_Time_s,Max_Time_s,Num_Runs
Active_Contour_CV2,0.0020600557327270508,8.928775787353516e-05,0.002 ± 0.000,0,0.0,0.0019707679748535156,0.002149343490600586,2
Canny_CV2,0.0032008886337280273,6.80685043334961e-05,0.003 ± 0.000,47453,13.569786328696926,0.0031328201293945312,0.0032689571380615234,2
Global_Threshold_CV2,0.003752589225769043,7.545948028564453e-05,0.004 ± 0.000,161828,46.27676610541728,0.0036771297454833984,0.0038280487060546875,2
Otsu_CV2,0.00466763973236084,0.00015747547149658203,0.005 ± 0.000,213818,61.14396504392386,0.004510164260864258,0.004825115203857422,2
Sobel_CV2,0.005390524864196777,7.808208465576172e-05,0.005 ± 0.000,112384,32.13762811127379,0.005312442779541016,0.005468606948852539,2
Adaptive_Threshold_CV2,0.005882740020751953,0.00012946128845214844,0.006 ± 0.000,251792,72.0031112737921,0.005753278732299805,0.0060122013092041016,2
Watershed_CV2,0.009255409240722656,0.0001735687255859375,0.009 ± 0.000,22084,6.315199487554906,0.009081840515136719,0.009428977966308594,2
Canny_Torch,0.010439753532409668,0.0007559061050415039,0.010 ± 0.001,73799,21.103758693265007,0.009683847427368164,0.011195659637451172,2
Global_Threshold_Torch,0.011855125427246094,0.00022459030151367188,0.012 ± 0.000,170857,48.858723005124446,0.011630535125732422,0.012079715728759766,2
Otsu_Torch,0.013458728790283203,0.0002765655517578125,0.013 ± 0.000,183170,52.37978129575402,0.01318216323852539,0.013735294342041016,2
Sobel_Torch,0.013557195663452148,0.0002942085266113281,0.014 ± 0.000,174163,49.80411557467057,0.01326298713684082,0.013851404190063477,2
KMeans_Torch,0.014573097229003906,0.00023865699768066406,0.015 ± 0.000,192498,55.047241032210835,0.014334440231323242,0.01481175422668457,2
Adaptive_Threshold_Torch,0.01495373249053955,0.0004140138626098633,0.015 ± 0.000,349696,100.0,0.014539718627929688,0.015367746353149414,2
GVF_Contour_CV2,0.02567434310913086,0.00032806396484375,0.026 ± 0.000,22665,6.481343795754026,0.02534627914428711,0.02600240707397461,2
Region_Growing_CV2,0.1493978500366211,0.0006401538848876953,0.149 ± 0.001,134436,38.443676793557835,0.1487576961517334,0.1500380039215088,2
Neural_SegFormer,0.18020856380462646,0.0035680532455444336,0.180 ± 0.004,336273,96.16152315153734,0.17664051055908203,0.1837766170501709,2
KMeans_CV2,0.1834932565689087,0.0007551908493041992,0.183 ± 0.001,200186,57.24572199853587,0.1827380657196045,0.1842484474182129,2
Split_and_Merge_CV2,0.6771366596221924,0.002809286117553711,0.677 ± 0.003,91120,26.056918008784773,0.6743273735046387,0.6799459457397461,2
Meanshift_Torch,162.88727974891663,0.07009577751159668,162.887 ± 0.070,274553,78.5119074853587,162.81718397140503,162.95737552642822,2
