Method,Mean_Time_s,Std_Time_s,Time_String,Mask_Area,Mask_Percentage,Min_Time_s,Max_Time_s,Num_Runs
Active_Contour_CV2,0.004411578178405762,0.00024378299713134766,0.004 ± 0.000,0,0.0,0.004167795181274414,0.004655361175537109,2
Global_Threshold_CV2,0.007024049758911133,0.0001494884490966797,0.007 ± 0.000,184873,22.752367871770637,0.006874561309814453,0.0071735382080078125,2
Canny_CV2,0.007059693336486816,6.830692291259766e-05,0.007 ± 0.000,103187,12.699250748267172,0.006991386413574219,0.007128000259399414,2
Otsu_CV2,0.009380221366882324,0.00019490718841552734,0.009 ± 0.000,390110,48.01093848456207,0.009185314178466797,0.009575128555297852,2
Sobel_CV2,0.012940645217895508,0.00015211105346679688,0.013 ± 0.000,244320,30.06852551984877,0.012788534164428711,0.013092756271362305,2
Adaptive_Threshold_CV2,0.013338685035705566,0.00038802623748779297,0.013 ± 0.000,548883,67.55117261342156,0.012950658798217773,0.01372671127319336,2
Canny_Torch,0.01968860626220703,0.00013494491577148438,0.020 ± 0.000,153906,18.94125118147448,0.019553661346435547,0.019823551177978516,2
Otsu_Torch,0.021607041358947754,4.8995018005371094e-05,0.022 ± 0.000,393621,48.44303816162571,0.021558046340942383,0.021656036376953125,2
Sobel_Torch,0.02226996421813965,9.179115295410156e-05,0.022 ± 0.000,416211,51.22319529773157,0.022178173065185547,0.02236175537109375,2
Watershed_CV2,0.026027917861938477,0.00036907196044921875,0.026 ± 0.000,327815,40.34427674070574,0.025658845901489258,0.026396989822387695,2
Global_Threshold_Torch,0.026681900024414062,0.002314329147338867,0.027 ± 0.002,200762,24.707831206679266,0.024367570877075195,0.02899622917175293,2
Adaptive_Threshold_Torch,0.026690363883972168,0.00022137165069580078,0.027 ± 0.000,812544,100.0,0.026468992233276367,0.02691173553466797,2
KMeans_Torch,0.02964186668395996,0.00011968612670898438,0.030 ± 0.000,417031,51.32411290957782,0.029522180557250977,0.029761552810668945,2
GVF_Contour_CV2,0.06245076656341553,0.0002645254135131836,0.062 ± 0.000,52441,6.453927418084436,0.062186241149902344,0.06271529197692871,2
Region_Growing_CV2,0.09924864768981934,0.00017595291137695312,0.099 ± 0.000,83680,10.298519218651544,0.09907269477844238,0.09942460060119629,2
KMeans_CV2,0.2460876703262329,0.004643797874450684,0.246 ± 0.005,417100,51.332604757403914,0.24144387245178223,0.2507314682006836,2
Neural_SegFormer,0.5168396234512329,0.003399968147277832,0.517 ± 0.003,812544,100.0,0.5134396553039551,0.5202395915985107,2
Split_and_Merge_CV2,2.1766414642333984,0.00992727279663086,2.177 ± 0.010,268260,33.01482750472589,2.1667141914367676,2.1865687370300293,2
Meanshift_Torch,531.8688724040985,1.2496135234832764,531.869 ± 1.250,689779,84.89127973377441,530.6192588806152,533.1184859275818,2
